feature,mean_abs_shap
Phascolarctobacterium_succinatutens,0.0008691240999190305
Turicimonas_muris,0.0008592433465434667
Dialister_invisus,0.0008411325888310429
Bacteroides_intestinalis,0.0008407328650857893
Klebsiella_variicola,0.00082083869058877
Streptococcus_sp_A12,0.0008195290136294812
Mogibacterium_diversum,0.000805900366410271
Asaccharobacter_celatus,0.000797098521597961
Holdemania_filiformis,0.0007861729841304394
Dorea_longicatena,0.0007796640325178454
Christensenella_minuta,0.0007794450558123276
Collinsella_aerofaciens,0.0007731430353184101
Butyricimonas_synergistica,0.0007637624598189005
Akkermansia_muciniphila,0.0007598547357994447
Olsenella_scatoligenes,0.0007492035600895037
Prevotella_sp_CAG_520,0.000742745526383122
Bacteroides_stercoris,0.0007367886392851462
Bacteroides_massiliensis,0.0007338829694756334
Eggerthella_lenta,0.0007302859827345905
Veillonella_atypica,0.0007220529377436342
Eubacterium_siraeum,0.0006985932145994898
Blautia_obeum,0.0006982038400521816
Bacteroides_coprocola,0.000690787053282989
Eubacterium_rectale,0.0006649332260962494
Actinomyces_sp_HMSC035G02,0.0006557713364154766
Bacteroides_finegoldii,0.0006504242031199429
Eubacterium_ramulus,0.0006369677539622144
Firmicutes_bacterium_CAG_110,0.0006313752309003084
Veillonella_infantium,0.0006245567620090421
Mogibacterium_timidum,0.0006236173903478825
Blautia_hansenii,0.0006184158590095508
Bacteroides_cellulosilyticus,0.0006154143250495576
Atopobium_rimae,0.0006107714986928768
Blautia_coccoides,0.0005929999611714912
Actinomyces_sp_ICM47,0.0005821302300889594
Bacteroides_coprophilus,0.0005800755101831466
Veillonella_dispar,0.0005614474992599411
Oscillibacter_sp_CAG_241,0.0005576792478607918
Bifidobacterium_catenulatum,0.0005535512027541776
Lawsonibacter_asaccharolyticus,0.000548410133740907
Anaeromassilibacillus_sp_An250,0.0005478668452267801
Blautia_producta,0.0005474830831022728
Porphyromonas_uenonis,0.000546034336860092
Roseburia_sp_CAG_303,0.0005284154316731258
Lactobacillus_salivarius,0.000519174231263228
Firmicutes_bacterium_CAG_83,0.0005178846179794719
Clostridium_saccharolyticum,0.0005172377861932096
Veillonella_sp_T11011_6,0.0005145612861319823
Parabacteroides_goldsteinii,0.0005133517266496912
Lactobacillus_paragasseri,0.0005126396993548102
Clostridium_bolteae_CAG_59,0.0005100747481865022
Pseudoflavonifractor_capillosus,0.000502898980736768
Bacteroides_eggerthii,0.0004997321803522284
Clostridium_disporicum,0.000496325263389659
Eubacterium_brachy,0.0004940778723274721
Lactobacillus_rogosae,0.00048368986658906633
Prevotella_sp_CAG_279,0.00047648472121158167
Clostridium_asparagiforme,0.0004760438942779482
Slackia_isoflavoniconvertens,0.0004743552461896926
Methanobrevibacter_smithii,0.0004742160948631394
Streptococcus_mutans,0.0004627149411139711
Coprobacter_secundus,0.00044914390692036763
Tyzzerella_nexilis,0.00044431207829099764
Actinomyces_oris,0.00043379316371400126
Haemophilus_sp_HMSC71H05,0.00042470502322608896
Streptococcus_sanguinis,0.0004242781923369042
Megasphaera_micronuciformis,0.0004198622760083474
Enterococcus_faecium,0.0004189651813722085
Bacteroides_clarus,0.0004173834769704182
Streptococcus_vestibularis,0.0004149593275632423
Megasphaera_elsdenii,0.00041272438500376596
Lactonifactor_longoviformis,0.00041125588735714454
