feature,mean_positive_shap,mean_abs_shap,mean_signed_shap,positive_rank
Gemella_morbillorum,0.014060400433279443,0.03042837446977811,-0.0023075736032192365,1
Parvimonas_micra,0.010767198291468844,0.02295610359115224,-0.001421707008214539,2
Peptostreptococcus_stomatis,0.009610404359749207,0.02117606337373093,-0.0019552546542325223,3
Dialister_pneumosintes,0.008083285674832082,0.014460117584351772,0.0017064537653123854,4
Fusobacterium_nucleatum,0.005608422571126568,0.012548525437363234,-0.0013316802951100972,5
Solobacterium_moorei,0.005095950980376498,0.009440839673799608,0.0007510622869533883,6
Streptococcus_salivarius,0.004911084546097241,0.00960585418379819,0.00021631490839629634,7
Eubacterium_eligens,0.004839768427807732,0.010818451692771769,-0.001138914837156301,8
Roseburia_intestinalis,0.004839245113026362,0.009501671760738075,0.00017681846531464494,9
Anaerostipes_hadrus,0.0036882219671799804,0.00642618907194743,0.0009502548624125321,10
Fusicatenibacter_saccharivorans,0.0036678962113417942,0.0059178232812337256,0.0014179691414498645,11
Hungatella_hathewayi,0.003662231369090641,0.007314789762329069,9.672975852213139e-06,12
Ruthenibacterium_lactatiformans,0.003617688655921744,0.006320588930719463,0.000914788381124025,13
Clostridium_symbiosum,0.003289149064576561,0.0067250864768673806,-0.00014678834771425563,14
Bacteroides_thetaiotaomicron,0.003159672353980687,0.00635773823977456,-3.839353181318475e-05,15
Eubacterium_ventriosum,0.003081940966326835,0.005607482893510027,0.0005563990391436455,16
Roseburia_hominis,0.003074968180849692,0.0046615288111930275,0.0014884075505063588,17
Anaerotruncus_colihominis,0.0029913150578354695,0.006332797986602945,-0.00035016787093200736,18
Faecalibacterium_prausnitzii,0.0029105242747769385,0.004939862117539272,0.0008811864320146032,19
Streptococcus_mitis,0.0026375119881563115,0.006065150692736224,-0.0007901267164236051,20
Bacteroides_caccae,0.002552006059893485,0.004868500634547105,0.00023551148523986266,21
Parabacteroides_distasonis,0.0025164901295826043,0.006009106495082833,-0.0009761262359176333,22
Adlercreutzia_equolifaciens,0.002367839950026866,0.003605682972904333,0.0011299969271493958,23
Streptococcus_anginosus_group,0.0023183363376554794,0.00514177397525391,-0.0005051012999429527,24
Roseburia_faecis,0.002306123489485167,0.004710874717433549,-9.862773846321284e-05,25
Alistipes_finegoldii,0.0022939647004953817,0.004094033039212551,0.0004938963617782117,26
Streptococcus_oralis,0.002219356144017195,0.005248790822652975,-0.0008100785346185842,27
Ruminococcus_bicirculans,0.0021159228374611964,0.0060912981716633,-0.0018594524967409064,28
Clostridium_clostridioforme,0.0020480958958462837,0.003322030818787865,0.0007741609729047007,29
Harryflintia_acetispora,0.0019268522750182386,0.00400232621639066,-0.00014862166635418324,30
Bacteroides_fragilis,0.001691830370604624,0.0034089993758975754,-2.5338634688328773e-05,31
Collinsella_aerofaciens,0.0016253742144550045,0.004327706022362826,-0.0010769575934528148,32
Parabacteroides_merdae,0.0016146319655693808,0.004480405348674149,-0.0012511414175353874,33
Ruminococcus_gnavus,0.0015785779343880355,0.002900153411964048,0.0002570024568120214,34
Gemmiger_formicilis,0.0015747014659661252,0.00312637539504636,2.3027536885890893e-05,35
