evaluation_group,samples,healthy,crc,fold_count,mean_auc,std_auc,min_auc,max_auc,paper_reference_auc
VogtmannE_2016,104,52,52,100,0.6436666666666666,0.15693629280698587,0.30000000000000004,1.0,
WirbelJ_2018,125,65,60,100,0.8925198412698415,0.08658165227886258,0.6111111111111112,1.0,
YachidaS_2019,331,146,185,100,0.7508886104149262,0.07302158284652745,0.5808270676691728,0.9360902255639098,
YuJ_2015,128,54,74,100,0.844297619047619,0.12062820319904248,0.47619047619047616,1.0,
ZellerG_2014,114,61,53,100,0.8563492063492063,0.12039001089837922,0.43333333333333335,1.0,
YachidaS_2019_stage_III_IV,220,146,74,100,0.7820952380952382,0.103478618104234,0.4857142857142857,1.0,0.82
