feature,mean_abs_shap
Bacteroides_finegoldii,0.0009309479677609104
Actinomyces_oris,0.0009164568406224058
Bifidobacterium_dentium,0.0009147699051489734
Prevotella_stercorea,0.000912552057954707
Coprobacter_secundus,0.0009006906526875246
Collinsella_aerofaciens,0.0008988182640985203
Streptococcus_australis,0.0008948980149993289
Barnesiella_intestinihominis,0.0008945098820265654
Lawsonibacter_asaccharolyticus,0.0008703490093358125
Methanobrevibacter_smithii,0.0008567442530789465
Intestinibacter_bartlettii,0.0008378588608012447
Ruminococcus_bromii,0.0008350674009605823
Prevotella_sp_CAG_279,0.0008254406429015456
Streptococcus_sp_A12,0.0008241882195374191
Bacteroides_xylanisolvens,0.0008239106531117288
Bifidobacterium_bifidum,0.0008189122975167792
Alistipes_shahii,0.0008187428235267811
Megasphaera_elsdenii,0.0008083979181423129
Roseburia_sp_CAG_303,0.0008067246291133175
Asaccharobacter_celatus,0.0007821679530073908
Actinomyces_odontolyticus,0.0007779252977441056
Clostridium_scindens,0.0007648974316523606
Streptococcus_infantis,0.0007636990574326307
Blautia_coccoides,0.000755391245630066
Blautia_producta,0.000745400876124466
Parabacteroides_johnsonii,0.0007296904436369065
Anaeromassilibacillus_sp_An250,0.000715629221769424
Clostridium_bolteae_CAG_59,0.0007081480064211425
Actinomyces_sp_HPA0247,0.0007066311794796785
Eubacterium_ramulus,0.000696242055795476
Firmicutes_bacterium_CAG_110,0.0006904801078957387
Bacteroides_stercoris,0.0006837430188200313
Ruminococcaceae_bacterium_D16,0.0006799585391997579
Bacteroides_salyersiae,0.0006717560300632625
Clostridium_sp_CAG_167,0.0006509952493551302
Firmicutes_bacterium_CAG_83,0.0006493664742426771
Ruminococcus_lactaris,0.0006454914178528416
Gemella_haemolysans,0.0006421415819787838
Veillonella_dispar,0.0006375313121137141
Dialister_invisus,0.0006245979173284353
Slackia_isoflavoniconvertens,0.0006210525232157792
Haemophilus_sp_HMSC71H05,0.0006098429641649755
Bifidobacterium_pseudocatenulatum,0.0006059452041661205
Clostridium_innocuum,0.0006014298770215191
Parabacteroides_goldsteinii,0.0005964311073716432
Holdemania_filiformis,0.000585050982764917
Actinomyces_sp_ICM47,0.0005848731939336891
Lactobacillus_rogosae,0.0005805607443195796
Phascolarctobacterium_succinatutens,0.0005754282525082705
Veillonella_sp_T11011_6,0.0005692366134596774
Bacteroides_cellulosilyticus,0.0005457366236135932
Firmicutes_bacterium_CAG_94,0.0005442452201967989
Streptococcus_mutans,0.0005330428713749097
Victivallis_vadensis,0.0005288813756836733
Streptococcus_vestibularis,0.0005227544987010095
Cloacibacillus_porcorum,0.0005162987319089478
Faecalitalea_cylindroides,0.0005133708616198099
Clostridium_disporicum,0.0005071936520407292
Coprobacter_fastidiosus,0.0004998718595408324
Turicibacter_sanguinis,0.0004965184565019263
Coprobacillus_cateniformis,0.0004930369836274173
